Gene ID	Gene Name	Value 1	Value 2	log2 (fold change)	Test Statistics	p value	q value
gene4821	PA4716	0	0.216342	inf	0	1	1
gene4822	PA4717	2.12391	5.01357	1.23912	0	1	1
gene4823	PA4718	0.823479	0.755121	-0.125023	0	1	1
gene4824	PA4719	0.386648	1.10344	1.51291	0	1	1
gene4825	trmA	0.756767	1.01491	0.423433	0	1	1
gene4826	PA4721	0	0.730388	inf	0	1	1
gene4827	PA4722	2.93566	2.8045	-0.0659414	0	1	1
gene4828	dksA	933.27	242.762	-1.94275	-3.83989	5e-05	0.000698837
gene4829	PA4724	0	0.208123	inf	0	1	1
gene483	PA0479	0	0.311488	inf	0	1	1
gene4830	PA4724.1	44.7522	112.038	1.32396	0.818748	0.1543	0.319243
gene4831	cbrA	1.79312	1.55478	-0.205759	0	1	1
gene4832	cbrB	3.4025	8.14844	1.25993	1.6656	0.0091	0.0444642
gene4833	PA4726.1	0	0	0	0	1	1
gene4834	crcZ	8059.71	4911.76	-0.714489	-1.04723	0.1082	0.260113
gene4835	PA4726.2	5222.53	2807.06	-0.895692	-0.350593	0.3295	0.489837
gene4836	pcnB	1.30272	1.16099	-0.166178	0	1	1
gene4837	folK	0	0.72684	inf	0	1	1
gene4838	panB	0.687823	0.621607	-0.146034	0	1	1
gene4839	panC	0.636721	0.357369	-0.833247	0	1	1
gene484	PA0480	0	0.38859	inf	0	1	1
gene4840	panD	2.82204	5.64121	0.999266	0	1	1
gene4841	pgi	0.636475	1.49101	1.22811	0	1	1
gene4842	acsB	0.434702	0.418612	-0.0544131	0	1	1
gene4843	PA4734	0	0	0	0	1	1
gene4844	PA4735	2.82651	1.5275	-0.887845	0	1	1
gene4845	PA4736	2.67748	0	-inf	0	1	1
gene4846	PA4737	0	1.68153	inf	0	1	1
gene4847	PA4738	10.7084	9.57902	-0.160798	0	1	1
gene4848	PA4739	7.20909	15.2044	1.0766	0.766842	0.32785	0.489837
gene4849	pnp	8.78635	7.10894	-0.305629	-0.524557	0.3646	0.516803
gene485	PA0481	0	0	0	0	1	1
gene4850	rpsO	3.86424	5.995	0.633576	0	1	1
gene4851	truB	3.12129	1.8872	-0.725894	0	1	1
gene4852	rbfA	2.32497	5.21535	1.16556	0	1	1
gene4853	infB	43.45	50.4822	0.21642	0.446464	0.43175	0.57791
gene4854	nusA	21.0283	20.5431	-0.0336759	-0.0654738	0.9112	0.950749
gene4855	PA4746	3.21417	1.82336	-0.817847	0	1	1
gene4856	PA4746.1	0	0	0	0	1	1
gene4857	PA4746.2	0	0	0	0	1	1
gene4858	secG	40.008	24.5156	-0.706591	-0.933142	0.1119	0.264771
gene4859	tpiA	4.62573	9.81998	1.08604	1.16907	0.0644	0.177007
gene486	glcB	3.31826	3.14474	-0.0774845	0	1	1
gene4860	glmM	3.16144	7.31824	1.21092	1.49358	0.0158	0.0673461
gene4861	folP	8.52815	6.21182	-0.457217	-0.519234	0.37205	0.523658
gene4862	ftsH	18.7479	30.9454	0.722993	1.46642	0.00975	0.046506
gene4863	ftsJ	6.5139	15.5524	1.25555	1.37743	0.02945	0.10473
gene4864	PA4753	0	0.975208	inf	0	1	1
gene4865	PA4754	12.1528	12.4284	0.0323479	0.0275849	0.93305	0.960777
gene4866	greA	2.3031	5.04503	1.13129	0	1	1
gene4867	carB	5.52239	5.52423	0.000480051	0	1	1
gene4868	PA4757	1.44606	1.80946	0.323429	0	1	1
gene4869	carA	1.95642	0.851491	-1.20015	0	1	1
gene487	PA0483	6.56296	1.44073	-2.18754	0	1	1
gene4870	PA4758.1	0	0	0	0	1	1
gene4871	dapB	1.20712	8.33066	2.78687	1.4514	0.00925	0.0448327
gene4872	dnaJ	18.0378	149.49	3.05095	5.85741	5e-05	0.000698837
gene4873	dnaK	31.4943	360.251	3.51584	7.06391	5e-05	0.000698837
gene4874	grpE	16.8391	184.341	3.45249	5.52579	5e-05	0.000698837
gene4875	recN	0.578377	1.37684	1.25128	0	1	1
gene4876	fur	6.54142	9.22927	0.496612	0.319584	0.4862	0.619081
gene4877	omlA	26.3268	26.5532	0.0123514	0.0191011	0.9636	0.968786
gene4878	PA4766	0	0	0	0	1	1
gene4879	PA4767	0	1.11173	inf	0	1	1
gene488	PA0484	0.731418	0	-inf	0	1	1
gene4880	smpB	7.44999	8.92507	0.260625	0.206035	0.7343	0.827982
gene4881	PA4769	2.45421	1.27828	-0.941055	0	1	1
gene4882	lldP	4.00184	8.55432	1.09599	1.60525	0.00815	0.0408179
gene4883	lldD	0.186606	0.940489	2.33341	0	1	1
gene4884	PA4772	1.26065	0.461697	-1.44915	0	1	1
gene4885	PA4773	1.07955	0.472321	-1.19259	0	1	1
gene4886	PA4774	1.36777	1.68986	0.305074	0	1	1
gene4887	PA4775	0.850524	0.549142	-0.631173	0	1	1
gene4888	pmrA	0.51063	0	-inf	0	1	1
gene4889	pmrB	0.200075	0.959784	2.26217	0	1	1
gene489	PA0485	0.69625	0.971009	0.47988	0	1	1
gene4890	cueR	5.30601	2.99986	-0.822734	0	1	1
gene4891	PA4779	0	1.79373	inf	0	1	1
gene4892	PA4780	0	1.06504	inf	0	1	1
gene4893	PA4781	0.579537	1.29293	1.15767	0	1	1
gene4894	PA4782	0	0	0	0	1	1
gene4895	PA4783	0	0.54329	inf	0	1	1
gene4896	PA4784	0	0.777787	inf	0	1	1
gene4897	PA4785	1.15922	5.96637	2.3637	0	1	1
gene4898	PA4786	0	0	0	0	1	1
gene4899	PA4787	1.00972	0.178058	-2.50354	0	1	1
gene49	PA0048	0	0	0	0	1	1
gene490	PA0486	1.05575	1.36239	0.367868	0	1	1
gene4900	PA4788	0	0.215397	inf	0	1	1
gene4901	PA4789	2.99042	0	-inf	0	1	1
gene4902	PA4790	0	0.255595	inf	0	1	1
gene4903	PA4791	0.745833	0.328752	-1.18185	0	1	1
gene4904	PA4792	0	0.511093	inf	0	1	1
gene4905	PA4793	15.5774	9.52245	-0.710048	-0.820546	0.1644	0.326881
gene4906	PA4794	0.565275	0.740717	0.389972	0	1	1
gene4907	PA4795	0.827963	0.700959	-0.240238	0	1	1
gene4908	PA4796	0	0	0	0	1	1
gene4909	PA4797	0	0	0	0	1	1
gene491	PA0487	0	0.392972	inf	0	1	1
gene4910	PA4798	0	0.967851	inf	0	1	1
gene4911	PA4799	0.619181	0	-inf	0	1	1
gene4912	PA4800	0	0.469788	inf	0	1	1
gene4913	PA4801	0	0	0	0	1	1
gene4914	PA4802	0.326147	0.536201	0.717254	0	1	1
gene4915	PA4802.1	0	0	0	0	1	1
gene4916	PA4803	0	1.06534	inf	0	1	1
gene4917	PA4804	0.652058	1.32914	1.02742	0	1	1
gene4918	PA4805	0.147633	0.56885	1.94604	0	1	1
gene4919	PA4806	1.14598	4.54802	1.98866	0	1	1
gene492	PA0488	1.62636	0	-inf	0	1	1
gene4920	selB	0.189386	0	-inf	0	1	1
gene4921	selA	0.352079	0.239399	-0.556485	0	1	1
gene4922	fdhE	0	0	0	0	1	1
gene4923	fdnI	2.67937	2.41271	-0.151242	0	1	1
gene4924	fdnH	1.80948	0.694073	-1.38241	0	1	1
gene4925	fdnG	6.72963	3.03918	-1.14684	0	1	1
gene4926	lipC	0.332983	0	-inf	0	1	1
gene4927	fadH2	0	0	0	0	1	1
gene4928	PA4815	0	0.526817	inf	0	1	1
gene4929	PA4816	0	0.216576	inf	0	1	1
gene493	PA0489	0	0	0	0	1	1
gene4930	PA4817	0	0.455142	inf	0	1	1
gene4931	PA4818	0	0	0	0	1	1
gene4932	PA4819	0	0	0	0	1	1
gene4933	PA4820	0	0	0	0	1	1
gene4934	PA4821	0.153148	0	-inf	0	1	1
gene4935	PA4822	0.168794	0.0988257	-0.772309	0	1	1
gene4936	PA4823	0	0	0	0	1	1
gene4937	PA4824	0	0	0	0	1	1
gene4938	mgtA	0.0994351	0.148874	0.582264	0	1	1
gene4939	PA4826	3.85061	3.52826	-0.126129	0	1	1
gene494	PA0490	1.29795	1.93835	0.578596	0	1	1
gene4940	PA4827	0	0.345225	inf	0	1	1
gene4941	PA4828	0	12.6143	inf	-nan	5e-05	0.000698837
gene4942	lpd3	0.705864	2.21119	1.64736	0	1	1
gene4943	PA4830	0.684234	0	-inf	0	1	1
gene4944	PA4831	0	0	0	0	1	1
gene4945	PA4832	0	0.472037	inf	0	1	1
gene4946	PA4833	0.565341	1.42687	1.33566	0	1	1
gene4947	PA4834	1.53234	2.58981	0.757111	0	1	1
gene4948	PA4835	0	0.669454	inf	0	1	1
gene4949	PA4836	0	0.2383	inf	0	1	1
gene495	PA0491	0.441621	1.46558	1.7306	0	1	1
gene4950	PA4837	0	0.546843	inf	0	1	1
gene4951	PA4838	0	0.246322	inf	0	1	1
gene4952	speA	0.626677	0.917523	0.550023	0	1	1
gene4953	PA4840	0	1.44108	inf	0	1	1
gene4954	PA4841	1.3796	0.671269	-1.03929	0	1	1
gene4955	PA4842	0.965445	12.9456	3.74512	2.19149	0.01675	0.0694259
gene4956	PA4843	3.33134	3.30359	-0.0120697	0	1	1
gene4957	PA4844	0	0.291913	inf	0	1	1
gene4958	dipZ	0.157434	0.570612	1.85776	0	1	1
gene4959	aroQ1	0.921204	3.78412	2.03837	0	1	1
gene496	PA0492	0.306633	1.03762	1.7587	0	1	1
gene4960	accB	3.69243	2.36102	-0.645159	0	1	1
gene4961	accC	4.85513	5.15935	0.0876817	0	1	1
gene4962	PA4849	0	0.544397	inf	0	1	1
gene4963	prmA	0	0.323396	inf	0	1	1
gene4964	PA4851	1.19156	1.13379	-0.0717024	0	1	1
gene4965	PA4852	1.97621	6.18415	1.64584	0	1	1
gene4966	fis	4.27646	3.31978	-0.365332	0	1	1
gene4967	purH	0.254355	0.599749	1.23752	0	1	1
gene4968	purD	0	0	0	0	1	1
gene4969	retS	1.13942	0.983591	-0.212174	0	1	1
gene497	PA0493	0	0	0	0	1	1
gene4970	PA4857	0	2.67734	inf	0	1	1
gene4971	PA4858	0	0.431779	inf	0	1	1
gene4972	PA4859	0.234418	0.104259	-1.16891	0	1	1
gene4973	PA4860	0.278017	0.162774	-0.772306	0	1	1
gene4974	PA4861	0.367896	0.336149	-0.130198	0	1	1
gene4975	PA4862	0.478732	0	-inf	0	1	1
gene4976	PA4863	0.621936	1.04271	0.745506	0	1	1
gene4977	ureD	0	0	0	0	1	1
gene4978	ureA	0	0	0	0	1	1
gene4979	PA4866	0	0	0	0	1	1
gene498	PA0494	0.512062	0.122678	-2.06144	0	1	1
gene4980	ureB	0	1.03114	inf	0	1	1
gene4981	ureC	0.239031	1.4164	2.56696	0	1	1
gene4982	PA4869	0	1.54761	inf	0	1	1
gene4983	PA4870	6.29367	50.96	3.01739	2.55899	0.0056	0.0323615
gene4984	PA4871	0	1.18723	inf	0	1	1
gene4985	PA4872	0.625782	0.213531	-1.55122	0	1	1
gene4986	PA4873	0	0.21063	inf	0	1	1
gene4987	PA4874	27.5456	6.44495	-2.09558	-1.58443	0.0234	0.0884491
gene4989	osmE	0	0	0	0	1	1
gene499	PA0495	1.99219	1.29673	-0.619479	0	1	1
gene4990	PA4877	1.42224	0	-inf	0	1	1
gene4991	PA4878	3.54554	7.44861	1.07096	0.947199	0.09585	0.241777
gene4992	PA4879	1.4796	1.07413	-0.46204	0	1	1
gene4993	PA4880	23.0987	38.6916	0.744211	1.19539	0.04205	0.137348
gene4994	PA4881	1.44166	0	-inf	0	1	1
gene4995	PA4882	0.725499	0.387024	-0.906549	0	1	1
gene4996	PA4883	0	0	0	0	1	1
gene4997	PA4884	0	0	0	0	1	1
gene4998	irlR	0	0	0	0	1	1
gene4999	PA4886	0	0.12117	inf	0	1	1
gene5	PA0006	0.970902	7.75248	2.99726	1.32348	0.227	0.393768
gene50	PA0049	0	0.253824	inf	0	1	1
gene500	PA0496	0.413506	0.366711	-0.173265	0	1	1
gene5000	PA4887	0.290551	0.402475	0.470106	0	1	1
gene5001	desB	3.52906	4.91813	0.478828	0	1	1
gene5002	PA4889	0	0.318194	inf	0	1	1
gene5003	desT	0.940851	0.826166	-0.187535	0	1	1
gene5004	ureE	0	0	0	0	1	1
gene5005	ureF	0	0.295377	inf	0	1	1
gene5006	ureG	0.403008	2.11437	2.39135	0	1	1
gene5007	PA4894	0	0	0	0	1	1
gene5008	PA4895	0	0	0	0	1	1
gene5009	PA4896	0	0	0	0	1	1
gene501	PA0497	0.608244	2.63571	2.11547	0	1	1
gene5010	PA4897	0.364728	0.877335	1.26631	0	1	1
gene5011	opdK	0	0.212969	inf	0	1	1
gene5012	PA4899	0	0.477564	inf	0	1	1
gene5013	PA4900	0	0.126453	inf	0	1	1
gene5014	mdlC	0	0	0	0	1	1
gene5015	PA4902	0.348125	3.10916	3.15885	0	1	1
gene5016	PA4903	0.217096	0.127105	-0.772307	0	1	1
gene5017	vanA	0	0.427933	inf	0	1	1
gene5018	vanB	0	0.310281	inf	0	1	1
gene5019	PA4906	0.796926	0.425673	-0.904699	0	1	1
gene502	PA0498	39.478	31.2868	-0.335496	-0.656012	0.25405	0.421779
gene5020	PA4907	9.76191	26.8597	1.46021	2.09157	0.0021	0.0159759
gene5021	PA4908	0	0.51312	inf	0	1	1
gene5022	PA4909	0	0.271047	inf	0	1	1
gene5023	PA4910	0	0.210792	inf	0	1	1
gene5024	PA4911	0	0.208342	inf	0	1	1
gene5025	PA4912	0.339699	1.0184	1.58398	0	1	1
gene5026	PA4913	0	0	0	0	1	1
gene5027	PA4914	0	0.809669	inf	0	1	1
gene5028	PA4915	0.598573	1.23369	1.04338	0	1	1
gene5029	PA4916	0	0.465363	inf	0	1	1
gene503	PA0499	1.10688	1.93747	0.807666	0	1	1
gene5030	PA4917	16.1805	3.2644	-2.30937	-1.6795	0.0033	0.0225375
gene5031	PA4918	4.70874	8.52391	0.856173	0.741214	0.17695	0.340952
gene5032	pncB1	6.30636	7.34077	0.219124	0.301317	0.59575	0.720414
gene5033	nadE	7.73936	5.16838	-0.582502	-0.643405	0.32	0.485657
gene5034	PA4921	1.66582	1.20272	-0.469937	0	1	1
gene5035	azu	166.858	66.2508	-1.33261	-2.52071	5e-05	0.000698837
gene5036	PA4923	0	1.85195	inf	0	1	1
gene5037	PA4924	1.8046	1.28598	-0.488805	0	1	1
gene5038	PA4925	0	0	0	0	1	1
gene5039	PA4926	0.236932	0.193426	-0.292694	0	1	1
gene504	bioB	8.02096	14.6075	0.864858	1.32337	0.0248	0.0914326
gene5040	PA4927	0.143023	0.0992157	-0.527603	0	1	1
gene5041	PA4928	0.630905	0.790696	0.325702	0	1	1
gene5042	PA4929	0.134976	0.202121	0.582517	0	1	1
gene5043	alr	0	0	0	0	1	1
gene5044	dnaB	2.30339	1.30897	-0.815329	0	1	1
gene5045	rplI	0.634643	3.21075	2.33889	0	1	1
gene5046	PA4933	3.45135	3.44969	-0.000693444	0	1	1
gene5047	rpsR	143.731	81.4008	-0.820255	-1.15097	0.05015	0.149951
gene5048	rpsF	48.1814	10.7881	-2.15903	-2.29553	0.00685	0.0367576
gene5049	PA4936	1.06458	2.10936	0.986529	0	1	1
gene505	bioF	0.321891	0	-inf	0	1	1
gene5050	rnr	7.88061	13.4832	0.774781	1.48185	0.01055	0.0491516
gene5051	PA4937.1	0	0	0	0	1	1
gene5052	PA4937.2	0	0	0	0	1	1
gene5053	purA	6.45052	2.7353	-1.23772	0	1	1
gene5054	PA4939	2.13263	4.19359	0.975551	0	1	1
gene5055	PA4940	0	0	0	0	1	1
gene5056	hflC	10.7156	17.5037	0.707948	0.615088	0.2927	0.463165
gene5057	hflK	17.8262	48.4164	1.4415	2.40358	0.00015	0.001803
gene5058	PA4943	6.4703	27.5441	2.08984	3.39868	5e-05	0.000698837
gene5059	hfq	29.049	58.015	0.997939	1.05416	0.10905	0.260433
gene506	PA0502	0	0.268101	inf	0	1	1
gene5060	miaA	1.31042	3.72603	1.50761	0	1	1
gene5061	mutL	0.741507	1.20102	0.69573	0	1	1
gene5062	amiB	0.20103	0.912409	2.18227	0	1	1
gene5063	PA4948	1.7768	0.495649	-1.84189	0	1	1
gene5064	PA4949	0	0.706051	inf	0	1	1
gene5065	PA4950	1.14838	0.575584	-0.996495	0	1	1
gene5066	orn	2.53871	2.33949	-0.117897	0	1	1
gene5067	PA4952	0.213862	1.14324	2.41837	0	1	1
gene5068	motB	1.46969	0.806637	-0.865523	0	1	1
gene5069	motA	0.371139	3.1577	3.08884	0	1	1
gene507	PA0503	0.276322	0.372326	0.430215	0	1	1
gene5070	PA4955	0.324625	0.171923	-0.917007	0	1	1
gene5071	rhdA	0	1.19457	inf	0	1	1
gene5072	psd	0.736815	0.696096	-0.0820168	0	1	1
gene5073	PA4958	0.477817	0.301471	-0.664442	0	1	1
gene5074	fimX	2.04657	1.59459	-0.360019	0	1	1
gene5075	PA4960	0.162883	1.96631	3.59358	0	1	1
gene5076	PA4961	0.910838	1.33118	0.547441	0	1	1
gene5077	PA4962	0	0	0	0	1	1
gene5078	PA4963	2.19389	3.5589	0.697936	0	1	1
gene5079	parC	6.51984	5.69125	-0.19609	0	1	1
gene508	bioD	0	0	0	0	1	1
gene5080	PA4965	0.712992	0	-inf	0	1	1
gene5081	PA4966	0	0.737254	inf	0	1	1
gene5082	parE	1.18766	1.44871	0.286654	0	1	1
gene5083	PA4968	0.795612	0.328752	-1.27507	0	1	1
gene5084	cpdA	0.794731	0.58482	-0.442474	0	1	1
gene5085	PA4970	0.609722	5.5771	3.19329	0	1	1
gene5086	aspP	3.21842	4.48925	0.480122	0	1	1
gene5087	PA4972	0.312873	2.14097	2.77461	0	1	1
gene5088	thiC	0.147507	0.422846	1.51935	0	1	1
gene5089	PA4974	2.05113	2.43604	0.248117	0	1	1
gene509	PA0505	0	0	0	0	1	1
gene5090	PA4975	1.62043	2.79221	0.785027	0	1	1
gene5091	aruH	0.329577	0.146347	-1.17123	0	1	1
gene5092	aruI	0	0.160116	inf	0	1	1
gene5093	PA4978	0	0.125682	inf	0	1	1
gene5094	PA4979	0	1.27817	inf	0	1	1
gene5095	PA4980	0	0	0	0	1	1
gene5096	PA4981	0.203459	1.58559	2.96221	0	1	1
gene5097	PA4982	0	0.186914	inf	0	1	1
gene5098	PA4983	0.448171	1.10485	1.30173	0	1	1
gene5099	PA4984	0	0	0	0	1	1
gene51	PA0050	0	0	0	0	1	1
gene510	PA0506	10.5577	10.1098	-0.0625481	-0.112564	0.84425	0.902354
gene5100	PA4985	0	0.835166	inf	0	1	1
gene5101	PA4986	0	0.30252	inf	0	1	1
gene5102	PA4987	0	0	0	0	1	1
gene5103	waaA	0	0.352384	inf	0	1	1
gene5104	PA4989	0	0	0	0	1	1
gene5105	PA4990	1.51569	0	-inf	0	1	1
gene5106	PA4991	0	0	0	0	1	1
gene5107	PA4992	0.281379	0.359797	0.354668	0	1	1
gene5108	PA4993	0	0.631921	inf	0	1	1
gene5109	PA4994	0.175428	0.222223	0.341128	0	1	1
gene511	PA0507	0.225036	0.988466	2.13504	0	1	1
gene5110	PA4995	0	0.216367	inf	0	1	1
gene5111	rfaE	0.201511	2.70074	3.74442	0	1	1
gene5112	msbA	1.80771	1.18242	-0.612429	0	1	1
gene5113	PA4998	0	2.11774	inf	0	1	1
gene5114	waaL	2.24642	4.20061	0.902972	0	1	1
gene5115	wapR	1.52975	1.00468	-0.606556	0	1	1
gene5116	PA5001	1.89973	1.71827	-0.144837	0	1	1
gene5117	PA5002	0.753669	3.15378	2.06508	0	1	1
gene5118	PA5003	0.958869	4.60202	2.26286	0	1	1
gene5119	PA5004	0.261608	1.54982	2.56662	0	1	1
gene512	PA0508	0.585188	0.73728	0.333311	0	1	1
gene5120	PA5005	5.17934	12.4491	1.2652	1.94415	0.0015	0.01202
gene5121	PA5006	0.254402	1.0071	1.98503	0	1	1
gene5122	PA5007	1.91885	5.51784	1.52386	0	1	1
gene5123	PA5008	0.593554	0.672159	0.179422	0	1	1
gene5124	waaP	1.24934	9.5508	2.93445	1.33883	0.0531	0.155674
gene5125	waaG	1.80622	10.3941	2.52472	2.08787	0.0063	0.0346941
gene5126	waaC	1.13781	4.1559	1.86891	0	1	1
gene5127	waaF	0.29149	0.853309	1.54962	0	1	1
gene5128	ilvE	14.7813	16.3281	0.143585	0.235144	0.67655	0.789527
gene5129	glnE	1.04373	2.02973	0.959546	0	1	1
gene513	nirN	6.29335	4.2586	-0.563448	0	1	1
gene5130	aceE	26.008	25.382	-0.035153	-0.0726484	0.8972	0.93918
gene5131	aceF	16.3964	10.6401	-0.623866	-1.14825	0.0499	0.149949
gene5132	PA5017	0.987854	1.36734	0.469002	0	1	1
gene5133	msrA	78.9678	59.6199	-0.405469	-0.794436	0.16195	0.326128
gene5134	PA5019	0	0.953245	inf	0	1	1
gene5135	PA5020	0.266937	0.141224	-0.918515	0	1	1
gene5136	PA5021	0.230023	0.857733	1.89875	0	1	1
gene5137	PA5022	0.273925	2.58126	3.23622	0	1	1
gene5138	PA5023	0.257968	0.29342	0.185777	0	1	1
gene5139	PA5024	0.768441	1.80321	1.23056	0	1	1
gene514	PA0510	0.377799	0.221195	-0.772303	0	1	1
gene5140	metY	10.9322	1.89052	-2.53173	-2.42142	0.00025	0.00268304
gene5141	PA5026	0	1.34004	inf	0	1	1
gene5142	PA5027	0.910188	0.917716	0.0118831	0	1	1
gene5143	PA5028	5.73213	7.00358	0.289021	0.302915	0.58125	0.710023
gene5144	PA5029	0	0.402648	inf	0	1	1
gene5145	PA5030	1.11979	3.04818	1.44472	0	1	1
gene5146	PA5031	0.332983	1.13953	1.77492	0	1	1
gene5147	PA5032	0	0	0	0	1	1
gene5148	PA5033	0	0.482499	inf	0	1	1
gene5149	hemE	0.281738	1.11485	1.98442	0	1	1
gene515	nirJ	1.7201	1.46546	-0.231137	0	1	1
gene5150	gltD	0.578042	0.973485	0.751984	0	1	1
gene5151	gltB	0.777948	1.18229	0.60384	0	1	1
gene5152	PA5037	1.99028	2.59755	0.38418	0	1	1
gene5153	aroB	3.16313	3.86834	0.290363	0	1	1
gene5154	aroK	1.69223	2.45965	0.539527	0	1	1
gene5155	pilQ	12.2848	6.43035	-0.9339	-1.68001	0.00445	0.0267445
gene5156	pilP	9.68695	5.65613	-0.776228	-0.303674	0.6596	0.774257
gene5157	pilO	108.242	55.8768	-0.953941	-1.64711	0.0042	0.0257571
gene5158	pilN	8.02099	5.82957	-0.46039	-0.215096	0.76175	0.844671
gene5159	pilM	8.26081	5.42787	-0.605896	-0.382784	0.5175	0.650664
gene516	PA0512	3.97943	0.427853	-3.21737	0	1	1
gene5160	ponA	4.66665	4.36022	-0.0979834	0	1	1
gene5161	PA5046	6.10594	5.50981	-0.148212	0	1	1
gene5162	PA5047	1.02889	3.71582	1.85259	0	1	1
gene5163	PA5048	0.560416	0.882794	0.655578	0	1	1
gene5164	rpmE	0	7.65534	inf	0	1	1
gene5165	priA	0.570896	0.446779	-0.353667	0	1	1
gene5166	argS	0.438376	0.488989	0.157635	0	1	1
gene5167	PA5052	0.34249	1.9732	2.52641	0	1	1
gene5168	hslV	6.10316	32.0818	2.39413	2.24884	0.00475	0.0282649
gene5169	hslU	6.96398	26.8164	1.94513	3.28447	5e-05	0.000698837
gene517	PA0513	2.51697	1.44073	-0.804884	0	1	1
gene5170	PA5055	0	1.13866	inf	0	1	1
gene5171	phaC1	1.04898	0.516312	-1.02267	0	1	1
gene5172	phaD	0.367896	0.569603	0.63066	0	1	1
gene5173	phaC2	0.340868	0.250295	-0.445588	0	1	1
gene5174	PA5059	0	0.547959	inf	0	1	1
gene5175	phaF	23.5498	30.7944	0.386951	0.713593	0.20745	0.376669
gene5176	PA5061	20.6999	9.13149	-1.1807	-1.04366	0.06075	0.169031
gene5177	PA5062	12.9481	3.4892	-1.89178	-0.911737	0.2683	0.434632
gene5178	ubiE	1.40012	0.878371	-0.672649	0	1	1
gene5179	PA5064	1.12865	0	-inf	0	1	1
gene518	nirL	2.21658	0.417123	-2.40979	0	1	1
gene5180	ubiB	0.255411	1.51112	2.56473	0	1	1
gene5181	hisI	5.06123	5.65567	0.16021	0	1	1
gene5182	hisE	5.07347	0.8639	-2.55404	0	1	1
gene5183	tatA	90.7587	30.9467	-1.55225	-1.652	0.0119	0.0531996
gene5184	tatB	0	0.903993	inf	0	1	1
gene5185	tatC	2.18272	2.91085	0.415315	0	1	1
gene5186	PA5071	0	1.00598	inf	0	1	1
gene5187	PA5072	0.575746	0.343395	-0.745563	0	1	1
gene5188	PA5073	15.8298	17.9899	0.184543	0.220738	0.7004	0.804857
gene5189	PA5074	0	0	0	0	1	1
gene519	PA0515	6.29447	9.19294	0.546442	0.312374	0.5828	0.710472
gene5190	PA5075	0.842792	1.09171	0.373341	0	1	1
gene5191	PA5076	8.64263	5.59739	-0.626715	-0.692059	0.2223	0.39065
gene5192	mdoH	1.31544	1.80654	0.457676	0	1	1
gene5193	PA5078	19.134	19.1379	0.000295309	0.000547698	0.9844	0.9844
gene5194	PA5079	1.59617	0.549812	-1.5376	0	1	1
gene5195	PA5080	0.679387	0.472896	-0.52271	0	1	1
gene5196	PA5081	0	0	0	0	1	1
gene5197	PA5082	0.804803	0.333548	-1.27074	0	1	1
gene5198	PA5083	0	0	0	0	1	1
gene5199	PA5084	0	1.21549	inf	0	1	1
gene52	phzH	0	0.138671	inf	0	1	1
gene520	nirF	1.87512	3.5506	0.921081	0	1	1
gene5200	PA5085	0	0.685595	inf	0	1	1
gene5201	PA5087	6.09992	4.39286	-0.473631	0	1	1
gene5202	PA5088	16.3998	19.9118	0.279946	0.468005	0.4165	0.568901
gene5203	PA5089	1.45261	1.27578	-0.187271	0	1	1
gene5204	PA5090	0.234105	0.214149	-0.128537	0	1	1
gene5205	hutG	0.530783	0.386713	-0.456859	0	1	1
gene5206	hutI	0	0.142539	inf	0	1	1
gene5207	PA5093	0.371058	0	-inf	0	1	1
gene5208	PA5094	0	0.224212	inf	0	1	1
gene5209	PA5095	0.490684	0.217295	-1.17514	0	1	1
gene521	nirC	2.21131	4.35077	0.976365	0	1	1
gene5210	PA5096	0.418204	0.289254	-0.531873	0	1	1
gene5211	PA5097	0	0.819427	inf	0	1	1
gene5212	hutH	0	0.108863	inf	0	1	1
gene5213	PA5099	0.143499	0.181267	0.337073	0	1	1
gene5214	hutU	0.121164	0.410909	1.76186	0	1	1
gene5215	PA5101	0	0	0	0	1	1
gene5216	PA5102	0	0.616999	inf	0	1	1
gene5217	PA5103	1.19788	1.63252	0.446614	0	1	1
gene5218	PA5104	0	0	0	0	1	1
gene5219	hutC	2.76265	6.51196	1.23704	0	1	1
gene522	nirM	0	2.65674	inf	0	1	1
gene5220	PA5106	0.491691	1.26637	1.36487	0	1	1
gene5221	blc	2.34606	3.62702	0.628545	0	1	1
gene5222	PA5108	0	6.43098	inf	0	1	1
gene5223	PA5109	0.584908	0	-inf	0	1	1
gene5224	fbp	6.21225	4.93935	-0.330794	0	1	1
gene5225	gloA3	1.89562	2.18574	0.205455	0	1	1
gene5226	estA	0.453058	0.783912	0.790995	0	1	1
gene5227	PA5113	0.776525	0.188389	-2.04332	0	1	1
gene5228	PA5114	0.0735537	0.177156	1.26815	0	1	1
gene5229	PA5115	0.431194	0.558679	0.373683	0	1	1
gene523	nirS	48.272	24.8277	-0.959236	-1.94776	0.0012	0.0106059
gene5230	PA5116	0	0.903993	inf	0	1	1
gene5231	typA	3.89081	6.5812	0.758281	0	1	1
gene5232	thiI	1.43032	1.0172	-0.491731	0	1	1
gene5233	glnA	83.3418	30.4831	-1.45103	-2.97103	5e-05	0.000698837
gene5234	PA5120	0.740093	0.624172	-0.245763	0	1	1
gene5235	PA5121	0.642024	0.562528	-0.190703	0	1	1
gene5236	PA5122	0	1.50011	inf	0	1	1
gene5237	PA5123	0.62838	1.7261	1.45781	0	1	1
